Match Category,Match Type,Series,Format,Match Desc,Team 1,Team 1 Score,Team 2,Team 2 Score,Status,State,Start Date,End Date,Venue,City
recent,Domestic,Duleep Trophy 2025,TEST,1st Semi-Final,South Zone,536/10 (169.2 overs),North Zone,361/10 (100.1 overs),Match drawn,Complete,1756958400000,1757242800000,BCCI Centre of Excellence Ground,Bengaluru
recent,Domestic,"New Zealand A tour of South Africa, 2025",ODI,3rd Unofficial ODI,South Africa A,348/5 (49.6 overs),New Zealand A,310/4 (44.6 overs),New Zealand A won by 18 runs (DLS method),Complete,1756886400000,1756915200000,LC de Villiers Oval,Pretoria
recent,Women,Czech Republic Women tour Estonia 2025,T20,3rd T20I,Czech Republic Women,57/10 (19.5 overs),Estonia Women,58/3 (9.6 overs),Estonia Women won by 7 wkts,Complete,1757228400000,1757241000000,Estonian National Cricket and Rugby Field,Tallinn
recent,Women,Czech Republic Women tour Estonia 2025,T20,2nd T20I,Estonia Women,153/5 (20.0 overs),Czech Republic Women,38/10 (12.1 overs),Estonia Women won by 115 runs,Complete,1757161800000,1757174400000,Estonian National Cricket and Rugby Field,Tallinn
recent,Women,Czech Republic Women tour Estonia 2025,T20,1st T20I,Czech Republic Women,107/6 (20.0 overs),Estonia Women,108/9 (19.4 overs),Estonia Women won by 1 wkt,Complete,1757145600000,1757158200000,Estonian National Cricket and Rugby Field,Tallinn
recent,Women,Womens ICC T20 Tri-Series 2025,T20,5th Match,Jersey Women,/ ( overs),Brazil Women,/ ( overs),Match abandoned due to rain (no toss),Abandon,1756891800000,1756904400000,New Farnley Cricket Club,Leeds
recent,Women,Womens ICC T20 Tri-Series 2025,T20,7th Match,Jersey Women,122/10 (18.3 overs),Brazil Women,126/2 (15.3 overs),Brazil Women won by 8 wkts,Complete,1756978200000,1756990800000,New Farnley Cricket Club,Leeds
recent,Women,Womens ICC T20 Tri-Series 2025,T20,6th Match,Brazil Women,70/1 (6.6 overs),Jersey Women,62/5 (6.6 overs),Brazil Women won by 20 runs (7 overs game due to rain),Complete,1756909800000,1756922400000,New Farnley Cricket Club,Leeds
recent,Women,Japan Women tour of Fiji 2025,T20,1st T20I,Japan Women,120/10 (19.6 overs),Fiji Women,97/7 (19.6 overs),Japan Women won by 23 runs,Complete,1757037600000,1757050200000,Albert Park 1,Suva
recent,Women,Japan Women tour of Fiji 2025,T20,2nd T20I,Japan Women,155/5 (19.6 overs),Fiji Women,51/10 (12.3 overs),Japan Women won by 104 runs,Complete,1757109600000,1757122200000,Albert Park 1,Suva
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,5th Place Play-off 2nd Semi-Final,Rwanda Women,162/5 (19.6 overs),Sierra Leone Women,112/6 (19.6 overs),Rwanda Women won by 50 runs,Complete,1756986600000,1756999200000,High Performance Oval,Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,1st semi-final,Uganda Women,119/7 (19.6 overs),Zimbabwe Women,120/5 (17.4 overs),Zimbabwe Women won by 5 wkts,Complete,1756971000000,1756983600000,Namibia Cricket Ground, Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,7th Place Play-off,Nigeria Women,159/4 (19.6 overs),Sierra Leone Women,74/9 (19.6 overs),Nigeria Women won by 85 runs,Complete,1757143800000,1757156400000,High Performance Oval,Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,Final,Namibia Women,115/7 (19.6 overs),Zimbabwe Women,116/1 (16.3 overs),Zimbabwe Women won by 9 wkts,Complete,1757159400000,1757172000000,Namibia Cricket Ground, Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,5th Place Play-off 1st Semi-Final,Kenya Women,105/7 (19.6 overs),Nigeria Women,98/10 (18.5 overs),Kenya Women won by 7 runs,Complete,1756971000000,1756983600000,High Performance Oval,Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,3rd place play-off,Tanzania Women,109/5 (19.6 overs),Uganda Women,103/10 (19.4 overs),Tanzania Women won by 6 runs,Complete,1757143800000,1757156400000,Namibia Cricket Ground, Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,2nd semi-final,Tanzania Women,75/8 (19.6 overs),Namibia Women,77/2 (13.5 overs),Namibia Women won by 8 wkts,Complete,1756986600000,1756999200000,Namibia Cricket Ground, Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,5th Place Play-off,Rwanda Women,122/5 (19.6 overs),Kenya Women,116/6 (19.6 overs),Rwanda Women won by 6 runs,Complete,1757159400000,1757172000000,High Performance Oval,Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,"10th Match, Group A",Namibia Women,228/1 (19.6 overs),Sierra Leone Women,76/10 (19.5 overs),Namibia Women won by 152 runs,Complete,1756884600000,1756897200000,High Performance Oval,Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,"11th Match, Group B",Kenya Women,107/8 (19.6 overs),Uganda Women,108/2 (18.4 overs),Uganda Women won by 8 wkts,Complete,1756900200000,1756912800000,Namibia Cricket Ground, Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,"12th Match, Group A",Nigeria Women,90/10 (19.5 overs),Zimbabwe Women,93/ (14.2 overs),Zimbabwe Women won by 10 wkts,Complete,1756900200000,1756912800000,High Performance Oval,Windhoek
recent,Women,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025,T20,"9th Match, Group B",Tanzania Women,123/4 (19.6 overs),Rwanda Women,105/8 (19.6 overs),Tanzania Women won by 18 runs,Complete,1756884600000,1756897200000,Namibia Cricket Ground, Windhoek
recent,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"5th Match, Group B",Japan Women,133/5 (19.6 overs),Samoa Women,62/10 (13.5 overs),Japan Women won by 71 runs,Complete,1757453400000,1757466000000,Albert Park 1,Suva
recent,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"6th Match, Group A",Indonesia Women,143/6 (19.6 overs),Fiji Women,101/10 (19.3 overs),Indonesia Women won by 42 runs,Complete,1757453400000,1757466000000,Albert Park 2,Suva
recent,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"3rd Match, Group A",Vanuatu Women,131/2 (19.6 overs),Indonesia Women,121/8 (19.6 overs),Vanuatu Women won by 10 runs,Complete,1757381400000,1757394000000,Albert Park 1,Suva
recent,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"2nd Match, Group B",Papua New Guinea Women,139/4 (19.6 overs),Japan Women,94/10 (19.5 overs),Papua New Guinea Women won by 45 runs,Complete,1757367000000,1757379600000,Albert Park 2,Suva
recent,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"1st Match, Group A",Cook Islands Women,114/6 (19.6 overs),Fiji Women,115/1 (17.2 overs),Fiji Women won by 9 wkts,Complete,1757367000000,1757379600000,Albert Park 1,Suva
recent,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"4th Match, Group B",Philippines Women,42/10 (17.3 overs),Samoa Women,43/1 (6.2 overs),Samoa Women won by 9 wkts,Complete,1757381400000,1757394000000,Albert Park 2,Suva
recent,Women,Womens Caribbean Premier League 2025,T20,2nd Match,Guyana Amazon Warriors Women,154/4 (19.6 overs),Barbados Royals Women,140/3 (17.2 overs),Barbados Royals Women won by 7 wkts (DLS method),Complete,1757271600000,1757284200000,Providence Stadium,Guyana
recent,Women,Womens Caribbean Premier League 2025,T20,1st Match,Guyana Amazon Warriors Women,129/7 (19.6 overs),Trinbago Knight Riders Women,123/9 (19.6 overs),Guyana Amazon Warriors Women won by 6 runs,Complete,1757181600000,1757194200000,Providence Stadium,Guyana
